id;username;first_name;last_name;email;phone_number;hire_date;salary
1;calculate Investment Account;Ralph;Carter;Lazaro.Jacobs63@hotmail.com;Concrete system;2021-02-27T02:37:44;64912
2;Bedfordshire;Frances;Brown;Lucio.Jenkins@gmail.com;silver bypassing Home;2021-02-26T16:11:19;26945
3;Sleek;Sterling;Rau;Macy84@hotmail.com;dot-com;2021-02-26T18:34:32;47489
4;indigo orchestrate;Antonina;Turner;Reuben92@yahoo.com;Albania;2021-02-27T02:55:36;54263
5;Infrastructure Granite infrastructures;Brian;Hayes;Bill_Doyle@gmail.com;lime payment portals;2021-02-26T22:23:48;95730
6;calculate Concrete Soap;Karli;Wilkinson;Monty17@gmail.com;rich Norfolk Island Kiribati;2021-02-27T01:46:09;96051
7;Plastic Movies;June;Nicolas;Vida4@yahoo.com;Electronics;2021-02-26T14:02:31;84273
8;initiatives bluetooth Officer;Daisy;Fisher;Hope.Turcotte74@gmail.com;Concrete;2021-02-27T00:54:08;79413
9;Sleek Concrete Table quantify Kids;Laurence;Botsford;Susana16@gmail.com;Profound reinvent;2021-02-27T06:14:56;66048
10;Tuna;Trenton;Leannon;Eileen_Walker@gmail.com;sensor;2021-02-27T03:03:43;4521
